Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
Public Method,"model.Pessoa.getNome",,1,,0
Public Method,"model.Pessoa.getTelefone",,1,,0
Public Method,"model.Pessoa.setCodigo",,1,,0
Public Method,"model.Pessoa.setDataCadastrada",,1,,0
Public Method,"model.Pessoa.setEmail",,1,,0
Public Method,"model.Pessoa.setNome",,1,,0
Public Method,"model.Pessoa.setTelefone",,1,,0
Public Abstract Method,"model.Pessoa.tipoPessoa",,0,,0
Public Method,"model.Pessoa.toString",,1,,0
Public Class,"model.Produto",1,17,1,0
Public Constructor,"model.Produto.Produto",,1,,0
Public Method,"model.Produto.compareTo",,1,,0
Public Method,"model.Produto.decrementarProdutoEstoque",,1,,0
Public Method,"model.Produto.getCodigo",,1,,0
Public Method,"model.Produto.getDataCadastrada",,1,,0
Public Method,"model.Produto.getEstoque",,1,,0
Public Method,"model.Produto.getEstoqueMinimo",,1,,0
Public Method,"model.Produto.getNome",,1,,0
Public Method,"model.Produto.getPrecoUnitario",,1,,0
Public Method,"model.Produto.incrementarProdutoEstoque",,1,,0
Public Method,"model.Produto.setCodigo",,1,,0
Public Method,"model.Produto.setDataCadastrada",,1,,0
Public Method,"model.Produto.setEstoque",,1,,0
Public Method,"model.Produto.setEstoqueMinimo",,1,,0
Public Method,"model.Produto.setNome",,1,,0
Public Method,"model.Produto.setPrecoUnitario",,1,,0
Public Method,"model.Produto.toString",,1,,0
Public Class,"model.Venda",1,15,1,0
Public Constructor,"model.Venda.Venda",,1,,0
Public Constructor,"model.Venda.Venda",,1,,0
Public Method,"model.Venda.getCliente",,1,,0
Public Method,"model.Venda.getDataVenda",,1,,0
Public Method,"model.Venda.getFormaPagamento",,1,,0
Public Method,"model.Venda.getNumeroVenda",,1,,0
Public Method,"model.Venda.getVendaItens",,1,,0
Public Method,"model.Venda.getVendedor",,1,,0
Public Method,"model.Venda.setCliente",,1,,0
Public Method,"model.Venda.setDataVenda",,1,,0
Public Method,"model.Venda.setFormaPagamento",,1,,0
Public Method,"model.Venda.setNumeroVenda",,1,,0
Public Method,"model.Venda.setVendaItens",,1,,0
Public Method,"model.Venda.setVendedor",,1,,0
Public Method,"model.Venda.toString",,1,,0
Public Class,"model.Vendedor",1,13,1,1
Public Constructor,"model.Vendedor.Vendedor",,1,,0
Public Constructor,"model.Vendedor.Vendedor",,1,,0
Public Method,"model.Vendedor.atualizarEstatistica",,3,,1
Public Method,"model.Vendedor.getCpf",,1,,0
Public Method,"model.Vendedor.getMetaMensal",,1,,0
Public Method,"model.Vendedor.setCpf",,1,,0
Public Method,"model.Vendedor.setMetaMensal",,1,,0
Public Method,"model.Vendedor.tipoPessoa",,1,,0
Public Method,"model.Vendedor.toString",,1,,0
Public Method,"model.Vendedor.verificaMetaMensal",,2,,1
Package,"utilitarios",3,188,11,4
Public Class,"utilitarios.Console",2,13,3,3
Public Static Method,"utilitarios.Console.printPrompt",,1,,0
Public Static Method,"utilitarios.Console.readDouble",,3,,2
Public Static Method,"utilitarios.Console.readInt",,3,,2
Public Static Method,"utilitarios.Console.readLine",,1,,0
Public Static Method,"utilitarios.Console.readLine",,5,,3
Public Class,"utilitarios.CustomTransferHandler",3,16,5,3
Public Method,"utilitarios.CustomTransferHandler.canImport",,2,,1
Public Method,"utilitarios.CustomTransferHandler.createTransferable",,1,,0
