Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
Public Method,"view.PanelFornecedorCenter.addPopup.(Anon_17).mousePressed",,2,,1
Public Method,"view.PanelFornecedorCenter.addPopup.(Anon_17).mouseReleased",,2,,1
Private Method,"view.PanelFornecedorCenter.addPopup.(Anon_17).showMenu",,1,,0
Public Method,"view.PanelFornecedorCenter.calcularValorTotalProdutos",,3,,2
Public Method,"view.PanelFornecedorCenter.fazerCompra",,8,,5
Public Method,"view.PanelFornecedorCenter.mostarTabelaDeFornecedor",,3,,2
Public Method,"view.PanelFornecedorCenter.mostarTabelaDeFornecedor",,2,,1
Public Method,"view.PanelFornecedorCenter.mostraTabelaCompra",,5,,2
Public Method,"view.PanelFornecedorCenter.mostraTabelaDeProdutosTotal",,2,,1
Public Method,"view.PanelFornecedorCenter.mostraTabelaDeProdutosUnico",,2,,1
Public Method,"view.PanelFornecedorCenter.mostraTabelaEstatistica",,5,,2
Public Class,"view.PanelProdutosCenter",2,4,1,1
Public Constructor,"view.PanelProdutosCenter.PanelProdutosCenter",,2,,0
Class,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_1)",1,1,1,0
Public Method,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_1).actionPerformed",,1,,0
Class,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_2)",1,1,1,0
Public Method,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_2).actionPerformed",,1,,0
Class,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_3)",4,4,1,1
Public Method,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_3).actionPerformed",,4,,1
Class,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_3).actionPerformed.(Anon_4)",1,1,1,0
Public Method,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_3).actionPerformed.(Anon_4).actionPerformed",,1,,0
Class,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_5)",1,2,1,0
Public Method,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_5).mouseEntered",,1,,0
Public Method,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_5).mouseExited",,1,,0
Class,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_6)",8,8,1,2
Public Method,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_6).keyReleased",,8,,2
Class,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_7)",1,1,1,0
Public Method,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_7).actionPerformed",,1,,0
Class,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_8)",6,6,1,3
Public Method,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_8).actionPerformed",,6,,3
Class,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_9)",3,3,1,2
Public Method,"view.PanelProdutosCenter.PanelProdutosCenter.(Anon_9).actionPerformed",,3,,2
Public Method,"view.PanelProdutosCenter.mostarTabelaDeProdutos",,2,,1
Public Class,"view.PanelVendedorCenter",3,26,1,2
Public Constructor,"view.PanelVendedorCenter.PanelVendedorCenter",,3,,0
Class,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_1)",1,1,1,0
Public Method,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_1).mouseEntered",,1,,0
Class,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_10)",1,1,1,0
Public Method,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_10).propertyChange",,1,,0
Class,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_11)",2,2,1,1
Public Method,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_11).actionPerformed",,2,,1
Class,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_12)",2,2,1,1
Public Method,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_12).actionPerformed",,2,,1
Class,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_2)",3,3,1,2
Public Method,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_2).actionPerformed",,3,,2
Class,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_3)",1,1,1,0
Public Method,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_3).actionPerformed",,1,,0
Class,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_4)",2,2,1,1
Public Method,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_4).keyReleased",,2,,1
Class,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_5)",1,1,1,0
Public Method,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_5).actionPerformed",,1,,0
Class,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_6)",1,1,1,0
Public Method,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_6).keyReleased",,1,,0
Class,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_7)",1,1,1,0
Public Method,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_7).actionPerformed",,1,,0
Class,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_8)",2,2,1,1
Public Method,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_8).keyReleased",,2,,1
Class,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_9)",2,2,1,1
Public Method,"view.PanelVendedorCenter.PanelVendedorCenter.(Anon_9).actionPerformed",,2,,1
Public Method,"view.PanelVendedorCenter.calcularValorTotalProdutos",,3,,2
Public Method,"view.PanelVendedorCenter.mostraTabelaDeProdutosTotal",,2,,1
Public Method,"view.PanelVendedorCenter.mostraTabelaDeProdutosUnico",,2,,1
Public Method,"view.PanelVendedorCenter.mostraTabelaDeVendedor",,3,,2
Public Method,"view.PanelVendedorCenter.mostraTabelaDeVendedorUnico",,3,,2
Public Method,"view.PanelVendedorCenter.mostraTabelaEstatistica",,5,,2
Public Method,"view.PanelVendedorCenter.mostraTabelaVendas",,5,,2
